Country,Year95to99,Year00to04,Year05to09,info
Afghanistan,,20.57745894,25.29840886,AvgIndustry. value added (% of GDP)
Albania,18.8300414,19.92030789,19.98176468,AvgIndustry. value added (% of GDP)
Algeria,49.61711002,55.26405033,61.82651665,AvgIndustry. value added (% of GDP)
American Samoa,,,,AvgIndustry. value added (% of GDP)
Andorra,,,,AvgIndustry. value added (% of GDP)
Angola,64.64671445,67.73824631,67.07232322,AvgIndustry. value added (% of GDP)
Antigua and Barbuda,18.4144353,15.14558723,20.66540879,AvgIndustry. value added (% of GDP)
Argentina,28.39362319,31.30671422,33.81250921,AvgIndustry. value added (% of GDP)
Armenia,32.14484077,39.49460104,42.64354578,AvgIndustry. value added (% of GDP)
Aruba,,,,AvgIndustry. value added (% of GDP)
Australia,27.94075698,26.26598596,23.25876543,AvgIndustry. value added (% of GDP)
Austria,30.69607616,29.67128035,29.58003778,AvgIndustry. value added (% of GDP)
Azerbaijan,37.95770691,49.99861164,66.42167815,AvgIndustry. value added (% of GDP)
Bahamas,17.08752039,15.33571448,14.86483151,AvgIndustry. value added (% of GDP)
Bahrain,39.94764361,,,AvgIndustry. value added (% of GDP)
Bangladesh,25.11015921,26.10076783,28.13595777,AvgIndustry. value added (% of GDP)
Barbados,20.68467019,16.03415242,22.24592473,AvgIndustry. value added (% of GDP)
Belarus,39.30698702,38.59216011,42.57046806,AvgIndustry. value added (% of GDP)
Belgium,27.92639632,25.55469451,23.30187308,AvgIndustry. value added (% of GDP)
Belize,20.29759498,19.34734783,20.54722808,AvgIndustry. value added (% of GDP)
Benin,13.99095745,13.80582118,13.41587442,AvgIndustry. value added (% of GDP)
Bermuda,8.327905109,10.55086676,9.37232808,AvgIndustry. value added (% of GDP)
Bhutan,32.92675248,37.34871531,41.8461833,AvgIndustry. value added (% of GDP)
Bolivia,30.99070844,29.72646628,35.62000614,AvgIndustry. value added (% of GDP)
Bosnia and Herzegovina,30.15891696,23.22910646,27.25146384,AvgIndustry. value added (% of GDP)
Botswana,53.55920413,52.93961468,50.1850888,AvgIndustry. value added (% of GDP)
Brazil,26.24858141,27.93342221,27.83856688,AvgIndustry. value added (% of GDP)
Brunei,54.66778446,63.27499096,72.5386258,AvgIndustry. value added (% of GDP)
Bulgaria,26.00062798,26.96121382,30.71060613,AvgIndustry. value added (% of GDP)
Burkina Faso,21.33524657,21.92860107,22.50632026,AvgIndustry. value added (% of GDP)
Burundi,16.48333428,18.85210032,20.01218028,AvgIndustry. value added (% of GDP)
Cambodia,16.82734442,25.11464218,25.51784838,AvgIndustry. value added (% of GDP)
Cameroon,30.81286545,32.39343938,30.80001123,AvgIndustry. value added (% of GDP)
