Country,Year95to99,Year00to04,Year05to09,info
Abkhazia,,,,AvgInflation. GDP deflator (annual %)
Afghanistan,,5.312922363,8.501629982,AvgInflation. GDP deflator (annual %)
Akrotiri and Dhekelia,,,,AvgInflation. GDP deflator (annual %)
Albania,13.19339365,4.094243739,2.852072282,AvgInflation. GDP deflator (annual %)
Algeria,13.46524471,9.233753824,7.681738689,AvgInflation. GDP deflator (annual %)
American Samoa,,,,AvgInflation. GDP deflator (annual %)
Andorra,2.438000529,3.38279596,3.338774679,AvgInflation. GDP deflator (annual %)
Angola,1596.261664,158.4929349,12.77500145,AvgInflation. GDP deflator (annual %)
Anguilla,,,,AvgInflation. GDP deflator (annual %)
Antigua and Barbuda,2.252452574,3.805373396,6.575959945,AvgInflation. GDP deflator (annual %)
Argentina,-0.178595383,10.04260784,13.11418316,AvgInflation. GDP deflator (annual %)
Armenia,41.84879684,3.187176574,4.127792343,AvgInflation. GDP deflator (annual %)
Aruba,1.134961596,2.950006291,,AvgInflation. GDP deflator (annual %)
Australia,1.325360072,3.218247526,4.614626969,AvgInflation. GDP deflator (annual %)
Austria,0.601747868,1.373109899,1.747631467,AvgInflation. GDP deflator (annual %)
Azerbaijan,116.5107215,6.490297666,11.46100488,AvgInflation. GDP deflator (annual %)
Bahamas,8.894909885,1.517068144,1.735947742,AvgInflation. GDP deflator (annual %)
Bahrain,-0.436374081,5.480701793,5.232156696,AvgInflation. GDP deflator (annual %)
Bangladesh,4.920005995,3.081697797,6.468718856,AvgInflation. GDP deflator (annual %)
Barbados,4.015250271,2.82986979,4.607569873,AvgInflation. GDP deflator (annual %)
Belarus,236.0462393,72.61591078,13.87693281,AvgInflation. GDP deflator (annual %)
Belgium,0.929792107,2.032038523,2.07551676,AvgInflation. GDP deflator (annual %)
Belize,1.167705086,0.236870719,2.47968969,AvgInflation. GDP deflator (annual %)
Benin,6.732046002,3.215145342,3.562395472,AvgInflation. GDP deflator (annual %)
Bermuda,8.604153616,2.168796946,4.012337395,AvgInflation. GDP deflator (annual %)
Bhutan,9.945140296,4.524684624,5.035877125,AvgInflation. GDP deflator (annual %)
Bolivia,7.635045292,4.836791574,6.987823706,AvgInflation. GDP deflator (annual %)
Bosnia and Herzegovina,2.315174986,7.939712815,4.586487936,AvgInflation. GDP deflator (annual %)
Botswana,10.6420811,5.538793578,10.15220654,AvgInflation. GDP deflator (annual %)
Brazil,26.19347812,9.492233661,6.949519168,AvgInflation. GDP deflator (annual %)
British Virgin Islands,,,,AvgInflation. GDP deflator (annual %)
Brunei,3.178402052,9.157759186,4.107213554,AvgInflation. GDP deflator (annual %)
Bulgaria,236.1689862,4.779452916,7.241301104,AvgInflation. GDP deflator (annual %)
Burkina Faso,4.210254797,2.532847727,2.278935488,AvgInflation. GDP deflator (annual %)
Burundi,17.87166173,15.14592595,13.69294326,AvgInflation. GDP deflator (annual %)
Cambodia,6.280674318,1.35532166,6.396802855,AvgInflation. GDP deflator (annual %)
Cameroon,4.305045349,2.026501035,1.882018011,AvgInflation. GDP deflator (annual %)
Canada,1.279680617,2.563242284,2.270677151,AvgInflation. GDP deflator (annual %)
Cape Verde,4.240941704,0.482436075,1.990943731,AvgInflation. GDP deflator (annual %)
Cayman Islands,,,,AvgInflation. GDP deflator (annual %)
Central African Republic,3.123503897,1.735505965,4.058846309,AvgInflation. GDP deflator (annual %)
Chad,4.650182046,6.161707645,4.685950482,AvgInflation. GDP deflator (annual %)
Channel Islands,3.909630979,3.945593104,3.039991505,AvgInflation. GDP deflator (annual %)
Chile,4.355175378,5.245511015,7.100325845,AvgInflation. GDP deflator (annual %)
China,3.914241145,2.844733276,4.504356287,AvgInflation. GDP deflator (annual %)
Christmas Island,,,,AvgInflation. GDP deflator (annual %)
Cocos Island,,,,AvgInflation. GDP deflator (annual %)
Colombia,15.99103504,11.69547609,5.627823267,AvgInflation. GDP deflator (annual %)
Comoros,3.920340404,4.624679452,3.915054116,AvgInflation. GDP deflator (annual %)
Congo. Dem. Rep.,353.2156617,190.1682605,21.64547296,AvgInflation. GDP deflator (annual %)
Congo. Rep.,7.497463772,8.77403554,9.088525609,AvgInflation. GDP deflator (annual %)
Cook Is,,,,AvgInflation. GDP deflator (annual %)
Costa Rica,15.99712532,8.978498281,10.3570487,AvgInflation. GDP deflator (annual %)
Cote d'Ivoire,5.276156117,2.174379255,3.880993573,AvgInflation. GDP deflator (annual %)
Croatia,9.307283947,4.027260197,4.178668301,AvgInflation. GDP deflator (annual %)
Cuba,2.314934596,2.060899078,2.989901449,AvgInflation. GDP deflator (annual %)
Cyprus,3.611939593,3.339837913,2.949135046,AvgInflation. GDP deflator (annual %)
Czech Republic,8.032613182,2.718866228,1.473979063,AvgInflation. GDP deflator (annual %)
Czechoslovakia,,,,AvgInflation. GDP deflator (annual %)
Denmark,1.624208392,2.353940602,2.508089251,AvgInflation. GDP deflator (annual %)
Djibouti,3.02834715,1.978403094,4.558413282,AvgInflation. GDP deflator (annual %)
Dominica,2.054227047,5.961071254,2.217750842,AvgInflation. GDP deflator (annual %)
Dominican Republic,6.195560611,19.2638199,5.303222758,AvgInflation. GDP deflator (annual %)
East Germany,,,,AvgInflation. GDP deflator (annual %)
