Country,Year95to99,Year00to04,Year05to09,info
Abkhazia,,,Avg. Income/pp $USD
Afghanistan,,,Avg. Income/pp $USD
Akrotiri and Dhekelia,,,Avg. Income/pp $USD
Albania,983.5365873,1326.15333,1692.720986,Avg. Income/pp $USD
Algeria,1716.073783,1899.078173,2152.424178,Avg. Income/pp $USD
American Samoa,,,,Avg. Income/pp $USD
Andorra,15825.67473,19228.76795,21443.12139,Avg. Income/pp $USD
Angola,281.2376902,321.5765164,536.5559579,Avg. Income/pp $USD
Anguilla,,,,Avg. Income/pp $USD
Antigua and Barbuda,9894.028722,10075.44471,12409.62902,Avg. Income/pp $USD
Argentina,7740.609583,7166.491185,9216.580691,Avg. Income/pp $USD
Armenia,524.8712428,787.4368213,1321.905712,Avg. Income/pp $USD
Aruba,19536.75048,19609.01246,,Avg. Income/pp $USD
Australia,19825.15367,22451.78947,24637.64261,Avg. Income/pp $USD
Austria,21823.86412,24369.68127,26413.713,Avg. Income/pp $USD
Azerbaijan,528.4539366,792.9422919,1814.61007,Avg. Income/pp $USD
Bahamas,19186.31338,21386.56184,21097.75267,Avg. Income/pp $USD
Bahrain,11771.355,13691.91369,13267.53754,Avg. Income/pp $USD
Bangladesh,329.7984292,388.5578142,484.2308673,Avg. Income/pp $USD
Barbados,8781.752901,9079.404044,9604.142807,Avg. Income/pp $USD
Belarus,1057.317796,1448.621309,2248.450936,Avg. Income/pp $USD
Belgium,20840.69822,23070.98228,24570.76649,Avg. Income/pp $USD
Belize,2880.375721,3512.005483,3677.102531,Avg. Income/pp $USD
Benin,323.0528764,354.36504,366.8157514,Avg. Income/pp $USD
Bermuda,47901.42907,58936.42615,65272.21035,Avg. Income/pp $USD
Bhutan,680.00962,857.2164733,1128.847139,Avg. Income/pp $USD
Bolivia,988.6521112,1018.487518,1137.503159,Avg. Income/pp $USD
Bosnia and Herzegovina,1091.062408,1611.534725,2062.803315,Avg. Income/pp $USD
Botswana,2772.920013,3509.28533,4050.949594,Avg. Income/pp $USD
