Country,Year95to99,Year00to04,Year05to09,info
Afghanistan,,15.087543,25.92164291,GrossCapitalInvestment(%ofGDP)
Albania,18.76919125,24.80886995,27.89888599,GrossCapitalInvestment(%ofGDP)
Algeria,26.93537636,29.45630795,35.06084016,GrossCapitalInvestment(%ofGDP)
American Samoa,,,,GrossCapitalInvestment(%ofGDP)
Andorra,,,,GrossCapitalInvestment(%ofGDP)
Angola,30.70791517,12.56028929,12.7831755,GrossCapitalInvestment(%ofGDP)
Antigua and Barbuda,39.34183377,32.94778367,32.01848093,GrossCapitalInvestment(%ofGDP)
Argentina,18.66780486,15.32740978,22.64345651,GrossCapitalInvestment(%ofGDP)
Armenia,18.99697298,21.84098524,35.93917513,GrossCapitalInvestment(%ofGDP)
Aruba,,,,GrossCapitalInvestment(%ofGDP)
Australia,24.94385432,25.18589802,28.28161834,GrossCapitalInvestment(%ofGDP)
Austria,25.01546936,23.29669394,22.3987543,GrossCapitalInvestment(%ofGDP)
Azerbaijan,29.37525603,37.41710581,26.11229067,GrossCapitalInvestment(%ofGDP)
Bahamas,28.31635202,23.60641554,26.39549411,GrossCapitalInvestment(%ofGDP)
Bahrain,15.15764384,17.6891801,27.2578951,GrossCapitalInvestment(%ofGDP)
Bangladesh,20.73227084,23.3373818,24.4444308,GrossCapitalInvestment(%ofGDP)
Barbados,16.88044398,20.64120964,22.50966626,GrossCapitalInvestment(%ofGDP)
Belarus,25.10496368,24.99160274,33.9304889,GrossCapitalInvestment(%ofGDP)
Belgium,20.9667917,20.63016514,22.22322005,GrossCapitalInvestment(%ofGDP)
Belize,21.07348155,22.60637562,20.45671275,GrossCapitalInvestment(%ofGDP)
Benin,17.92319618,18.57131253,20.98613177,GrossCapitalInvestment(%ofGDP)
Bermuda,,,11.44953737,GrossCapitalInvestment(%ofGDP)
Bhutan,41.05129584,55.30343968,42.79391051,GrossCapitalInvestment(%ofGDP)
Bolivia,18.69831131,14.59207242,15.56592181,GrossCapitalInvestment(%ofGDP)
Bosnia and Herzegovina,33.83940969,19.28661406,25.22890384,GrossCapitalInvestment(%ofGDP)
Botswana,26.87459028,29.5282044,26.56558036,GrossCapitalInvestment(%ofGDP)
Brazil,17.17974328,17.07259424,17.69663969,GrossCapitalInvestment(%ofGDP)
Brunei,33.73087751,15.45790728,12.11426348,GrossCapitalInvestment(%ofGDP)
Bulgaria,13.90969012,20.35994263,32.13872849,GrossCapitalInvestment(%ofGDP)
Burkina Faso,23.74823456,15.86632147,19.28403422,GrossCapitalInvestment(%ofGDP)
Burundi,6.665328506,8.542992439,13.57597669,GrossCapitalInvestment(%ofGDP)
Cambodia,14.62207404,18.12787493,20.03802865,GrossCapitalInvestment(%ofGDP)
Cameroon,14.51434499,18.6453556,17.86761515,GrossCapitalInvestment(%ofGDP)
Canada,19.67398186,19.88417982,22.48797836,GrossCapitalInvestment(%ofGDP)
Cape Verde,25.84910699,33.7389677,41.40659183,GrossCapitalInvestment(%ofGDP)
Cayman Islands,,,,GrossCapitalInvestment(%ofGDP)
Central African Rep.,11.10862843,7.821384297,9.901980374,GrossCapitalInvestment(%ofGDP)
Chad,16.71062961,40.01721968,21.80026058,GrossCapitalInvestment(%ofGDP)
Channel Islands,,,,GrossCapitalInvestment(%ofGDP)
Chile,25.81831108,21.34929603,21.36946022,GrossCapitalInvestment(%ofGDP)
China,38.82610496,38.74365876,43.81963892,GrossCapitalInvestment(%ofGDP)
Colombia,20.29632919,17.25331897,22.01900386,GrossCapitalInvestment(%ofGDP)
Comoros,17.52788783,10.16402376,11.3573037,GrossCapitalInvestment(%ofGDP)
Congo. Dem. Rep.,8.982558577,8.526891914,19.87136619,GrossCapitalInvestment(%ofGDP)
Congo. Rep.,28.04333483,24.2001706,20.89024772,GrossCapitalInvestment(%ofGDP)
Costa Rica,17.95576226,20.72281751,23.775413,GrossCapitalInvestment(%ofGDP)
Cote d'Ivoire,13.71822024,10.58639035,9.850788772,GrossCapitalInvestment(%ofGDP)
Croatia,20.08388041,23.96576362,28.7817355,GrossCapitalInvestment(%ofGDP)
Cuba,12.58465317,10.09422064,11.56958093,GrossCapitalInvestment(%ofGDP)
Cyprus,19.82112951,18.21826003,20.93500774,GrossCapitalInvestment(%ofGDP)
Czech Rep.,30.4435013,28.44452185,25.30733835,GrossCapitalInvestment(%ofGDP)
Denmark,20.14544365,20.38867172,21.37288282,GrossCapitalInvestment(%ofGDP)
Djibouti,9.577674123,12.52715768,28.67254219,GrossCapitalInvestment(%ofGDP)
Dominica,29.10979328,19.54744389,23.91252027,GrossCapitalInvestment(%ofGDP)
Dominican Rep.,20.08547705,19.07672485,17.3939553,GrossCapitalInvestment(%ofGDP)
Ecuador,20.54344684,23.09204441,24.57818739,GrossCapitalInvestment(%ofGDP)
Egypt,19.79328659,17.98021104,19.82755414,GrossCapitalInvestment(%ofGDP)
El Salvador,16.86521684,16.63363956,15.57167372,GrossCapitalInvestment(%ofGDP)
Equatorial Guinea,86.79348234,53.66523693,36.02464964,GrossCapitalInvestment(%ofGDP)
Eritrea,31.84154388,26.82149375,14.68136783,GrossCapitalInvestment(%ofGDP)
Estonia,28.70998073,30.96051784,32.05467473,GrossCapitalInvestment(%ofGDP)
Ethiopia,19.47605916,22.5940718,22.60482654,GrossCapitalInvestment(%ofGDP)
Faeroe Islands,,,,GrossCapitalInvestment(%ofGDP)
Fiji,21.72689392,18.85166471,22.75461739,GrossCapitalInvestment(%ofGDP)
Finland,19.01314404,19.9781501,21.38847599,GrossCapitalInvestment(%ofGDP)
France,17.74897918,19.14314459,20.76912712,GrossCapitalInvestment(%ofGDP)
French Polynesia,,,,GrossCapitalInvestment(%ofGDP)
Gabon,28.92793213,24.09430815,24.90037367,GrossCapitalInvestment(%ofGDP)
Gambia,19.03045732,21.26310773,25.75625028,GrossCapitalInvestment(%ofGDP)
Georgia,19.01791331,29.72784816,27.07724415,GrossCapitalInvestment(%ofGDP)
Germany,21.71813035,19.24036899,18.11614424,GrossCapitalInvestment(%ofGDP)
