Country,Year95to99,Year00to04,Year05to09,info
Abkhazia,,,,Averge GDP (constant 2000 US$)
Afghanistan,,,,Averge GDP (constant 2000 US$)
Akrotiri and Dhekelia,,,,Averge GDP (constant 2000 US$)
Albania,3047056514,4104915210,5365490681,Averge GDP (constant 2000 US$)
Algeria,50168045829,59793732979,73016293760,Averge GDP (constant 2000 US$)
American Samoa,,,,Averge GDP (constant 2000 US$)
Andorra,1022096961,1339868221,1725426611,Averge GDP (constant 2000 US$)
Angola,7926179440,10569055298,20786565080,Averge GDP (constant 2000 US$)
Anguilla,,,,Averge GDP (constant 2000 US$)
Antigua and Barbuda,724223261.9,858632707.1,1010678399,Averge GDP (constant 2000 US$)
Argentina,2.76564E+11,2.69736E+11,3.63193E+11,Averge GDP (constant 2000 US$)
Armenia,1649200603,2413123650,4065169305,Averge GDP (constant 2000 US$)
Aruba,1657769848,1832256967,,Averge GDP (constant 2000 US$)
Australia,3.66878E+11,4.43346E+11,5.22101E+11,Averge GDP (constant 2000 US$)
Austria,1.73925E+11,1.97068E+11,2.19203E+11,Averge GDP (constant 2000 US$)
Azerbaijan,4145374110,6491244357,15738721758,Averge GDP (constant 2000 US$)
Bahamas,5511384185,6543728075,6933852339,Averge GDP (constant 2000 US$)
Bahrain,6984651686,8885251205,12248887252,Averge GDP (constant 2000 US$)
Bangladesh,40402054184,52200362494,69748442093,Averge GDP (constant 2000 US$)
Barbados,2328471519,2440150519,2608656888,Averge GDP (constant 2000 US$)
Belarus,10688438786,14360332263,21705380521,Averge GDP (constant 2000 US$)
Belgium,2.12198E+11,2.38423E+11,2.6138E+11,Averge GDP (constant 2000 US$)
Belize,663214160.3,935282205.1,1146936659,Averge GDP (constant 2000 US$)
Benin,1937288282,2463491005,2979265563,Averge GDP (constant 2000 US$)
Bermuda,2964411406,3698324138,4177662489,Averge GDP (constant 2000 US$)
Bhutan,354532736,501937595.2,769789912,Averge GDP (constant 2000 US$)
Bolivia,7721668405,8808269082,10773687032,Averge GDP (constant 2000 US$)
Bosnia and Herzegovina,3757443055,6056235124,7790067508,Averge GDP (constant 2000 US$)
Botswana,4610887736,6347692556,7812286411,Averge GDP (constant 2000 US$)
Brazil,6.06139E+11,6.72708E+11,8.07428E+11,Averge GDP (constant 2000 US$)
British Virgin Islands,,,,Averge GDP (constant 2000 US$)
Brunei,5717391468,6357182582,6811850572,Averge GDP (constant 2000 US$)
Bulgaria,11990478117,14217045201,18671338559,Averge GDP (constant 2000 US$)
Burkina Faso,2230305084,2951341994,3974436074,Averge GDP (constant 2000 US$)
Burundi,845884892.9,875961336.6,1026789427,Averge GDP (constant 2000 US$)
Cambodia,2898930782,4285245545,6778363607,Averge GDP (constant 2000 US$)
Cameroon,8825721543,10953123735,12863092819,Averge GDP (constant 2000 US$)
Canada,6.32478E+11,7.58753E+11,8.49222E+11,Averge GDP (constant 2000 US$)
Cape Verde,422532658.7,600530394.6,824958722.5,Averge GDP (constant 2000 US$)
Cayman Islands,,,,Averge GDP (constant 2000 US$)
Central African Republic,876824388.2,930749109.1,974011494.7,Averge GDP (constant 2000 US$)
Chad,1316608633,1821284110,3014347406,Averge GDP (constant 2000 US$)
Channel Islands,5974598774,6222445825,6462150514,Averge GDP (constant 2000 US$)
Chile,68407566500,80503597682,99553166926,Averge GDP (constant 2000 US$)
China,9.50227E+11,1.43703E+12,2.42988E+12,Averge GDP (constant 2000 US$)
Christmas Island,,,,Averge GDP (constant 2000 US$)
Cocos Island,,,,Averge GDP (constant 2000 US$)
Colombia,97436408180,1.06043E+11,1.34015E+11,Averge GDP (constant 2000 US$)
Comoros,192084138,214516033.4,236288067,Averge GDP (constant 2000 US$)
Congo. Dem. Rep.,4965483958,4483501810,5933144607,Averge GDP (constant 2000 US$)
Congo. Rep.,2973175675,3445879590,4241288091,Averge GDP (constant 2000 US$)
Cook Is,,,,Averge GDP (constant 2000 US$)
Costa Rica,13735033255,16939667563,22062167239,Averge GDP (constant 2000 US$)
Cote d'Ivoire,10034324649,10298217066,10763886616,Averge GDP (constant 2000 US$)
Croatia,19950505140,23506074668,28569301501,Averge GDP (constant 2000 US$)
Cuba,26808807745,32481971126,45641876962,Averge GDP (constant 2000 US$)
Cyprus,8193698860,9898237276,11763430726,Averge GDP (constant 2000 US$)
Czech Republic,55481636342,62588814996,78759974720,Averge GDP (constant 2000 US$)
Czechoslovakia,,,,Averge GDP (constant 2000 US$)
Denmark,1.47007E+11,1.62431E+11,1.74052E+11,Averge GDP (constant 2000 US$)
Djibouti,545516012.8,581046841.1,706828660.8,Averge GDP (constant 2000 US$)
Dominica,321507340.5,336766056.6,389950579.4,Averge GDP (constant 2000 US$)
Dominican Republic,19897249879,25233894887,33548216601,Averge GDP (constant 2000 US$)
East Germany,,,,Averge GDP (constant 2000 US$)
Ecuador,15810007212,17690078414,22709293868,Averge GDP (constant 2000 US$)
Egypt,85751250702,1.06378E+11,1.359E+11,Averge GDP (constant 2000 US$)
El Salvador,12011196114,13678853543,15546972470,Averge GDP (constant 2000 US$)
Equatorial Guinea,638365635.3,2457896419,5059376335,Averge GDP (constant 2000 US$)
Eritrea,689328017.9,748980346.3,776290909.1,Averge GDP (constant 2000 US$)
Eritrea and Ethiopia,,,,Averge GDP (constant 2000 US$)
Estonia,4733896240,6485303318,8662482113,Averge GDP (constant 2000 US$)
Ethiopia,7310885755,8964351508,13858143920,Averge GDP (constant 2000 US$)
Faeroe Islands,,1062339944,,Averge GDP (constant 2000 US$)
Falkland Is (Malvinas),,,,Averge GDP (constant 2000 US$)
Fiji,1589680932,1770107332,1919707515,Averge GDP (constant 2000 US$)
