Country,Year95to99,Year00to04,Year05to09,info
Afghanistan,,-42.41618885,-41.1059723,Average Trade balance (% of GDP)
Albania,-21.91439704,-21.97226711,-25.31073235,Average Trade balance (% of GDP)
Algeria,3.154045107,14.5911188,20.32352655,Average Trade balance (% of GDP)
American Samoa,,,,Average Trade balance (% of GDP)
Andorra,,,,Average Trade balance (% of GDP)
Angola,-2.035969292,12.46873934,25.82899358,Average Trade balance (% of GDP)
Antigua and Barbuda,-10.355739,-6.468981124,-22.66322881,Average Trade balance (% of GDP)
Argentina,-1.526553524,6.686820172,4.973944526,Average Trade balance (% of GDP)
Armenia,-34.37801692,-19.7057304,-20.68309286,Average Trade balance (% of GDP)
Aruba,-21.87299035,,,Average Trade balance (% of GDP)
Australia,-1.046129343,-1.2658247,-1.354716945,Average Trade balance (% of GDP)
Austria,-0.252971746,3.194574566,5.056133666,Average Trade balance (% of GDP)
Azerbaijan,-21.8733217,-10.09601494,29.8017374,Average Trade balance (% of GDP)
Bahamas,-6.041015316,0.354835964,-7.28826869,Average Trade balance (% of GDP)
Bahrain,9.884185722,20.01621707,24.22499797,Average Trade balance (% of GDP)
Bangladesh,-6.105552236,-5.461396504,-7.039569833,Average Trade balance (% of GDP)
Barbados,0.01130045,-6.758071828,-5.351104217,Average Trade balance (% of GDP)
Belarus,-4.308699316,-4.135440558,-5.740758758,Average Trade balance (% of GDP)
Belgium,3.760377165,4.525970276,3.035647983,Average Trade balance (% of GDP)
Belize,-4.197481993,-14.6461432,-4.57892298,Average Trade balance (% of GDP)
Benin,-12.50430506,-13.03486734,-13.45626593,Average Trade balance (% of GDP)
Bermuda,,,-9.738910677,Average Trade balance (% of GDP)
Bhutan,-12.9451512,-20.05898573,-9.7534565,Average Trade balance (% of GDP)
Bolivia,-8.173280581,-3.273402348,5.950718689,Average Trade balance (% of GDP)
Bosnia and Herzegovina,-58.77547456,-47.81167689,-33.20684135,Average Trade balance (% of GDP)
Botswana,12.15886177,10.085604,6.773967436,Average Trade balance (% of GDP)
Brazil,-1.784346921,1.044669172,1.632543975,Average Trade balance (% of GDP)
Brunei,0.470963119,31.53860618,45.00685117,Average Trade balance (% of GDP)
Bulgaria,1.257266154,-8.928296293,-16.34831129,Average Trade balance (% of GDP)
Burkina Faso,-15.02446888,-13.7644446,-15.45558696,Average Trade balance (% of GDP)
Burundi,-9.743613444,-17.19783444,-35.07004747,Average Trade balance (% of GDP)
Cambodia,-14.35287775,-9.355065587,-6.527496042,Average Trade balance (% of GDP)
Cameroon,4.380384859,0.282273322,-1.200487776,Average Trade balance (% of GDP)
Canada,2.968876286,4.796193742,1.601762142,Average Trade balance (% of GDP)
Cape Verde,-35.21089201,-35.12987185,-31.32728543,Average Trade balance (% of GDP)
Cayman Islands,,,,Average Trade balance (% of GDP)
Central African Rep.,-5.619406228,-4.830214837,-9.023286639,Average Trade balance (% of GDP)
Chad,-12.10686443,-37.52321894,3.255204419,Average Trade balance (% of GDP)
Channel Islands,,,,Average Trade balance (% of GDP)
Chile,-0.520277051,3.820003945,9.789859482,Average Trade balance (% of GDP)
China,3.027375811,2.370084263,6.83102057,Average Trade balance (% of GDP)
Colombia,-4.667850424,-2.263343527,-2.439898544,Average Trade balance (% of GDP)
Comoros,-23.96921521,-15.52712052,-28.09803616,Average Trade balance (% of GDP)
Congo. Dem. Rep.,2.215593536,-4.394132582,-12.2760033,Average Trade balance (% of GDP)
Congo. Rep.,8.428835975,24.56411881,24.31208296,Average Trade balance (% of GDP)
Costa Rica,-1.389805973,-2.10701242,-5.119767097,Average Trade balance (% of GDP)
Cote d'Ivoire,7.771895173,10.44762616,7.879775463,Average Trade balance (% of GDP)
Croatia,-8.252463564,-5.96753898,-6.678774076,Average Trade balance (% of GDP)
Cuba,-2.84077973,-1.466607797,0.973104473,Average Trade balance (% of GDP)
Cyprus,-0.784305606,-0.468727666,-5.721545473,Average Trade balance (% of GDP)
Czech Rep.,-3.521241847,-1.963764132,4.336281905,Average Trade balance (% of GDP)
Denmark,3.966440458,5.926945273,3.458775168,Average Trade balance (% of GDP)
Djibouti,-11.89861622,-11.06730361,-15.94547331,Average Trade balance (% of GDP)
Dominica,-11.19810204,-11.8915272,-21.1923577,Average Trade balance (% of GDP)
Dominican Rep.,-4.997276108,-4.701644025,-8.862256245,Average Trade balance (% of GDP)
Ecuador,-0.123764305,-2.02541018,-0.385945042,Average Trade balance (% of GDP)
Egypt,-6.881479494,-3.953614477,-4.139462386,Average Trade balance (% of GDP)
El Salvador,-13.054474,-15.74012454,-19.94274237,Average Trade balance (% of GDP)
Equatorial Guinea,-56.53244249,25.06071587,41.69828218,Average Trade balance (% of GDP)
Eritrea,-63.46614427,-58.84878472,-29.45238153,Average Trade balance (% of GDP)
Estonia,-8.872205905,-5.596897837,-5.064505835,Average Trade balance (% of GDP)
Ethiopia,-7.90078661,-13.68779412,-20.02880256,Average Trade balance (% of GDP)
Faeroe Islands,,,,Average Trade balance (% of GDP)
Fiji,1.829886003,-8.115268755,-16.36823534,Average Trade balance (% of GDP)
Finland,7.820483354,8.217144287,3.86593862,Average Trade balance (% of GDP)
France,2.126941786,0.991361395,-1.428729437,Average Trade balance (% of GDP)
French Polynesia,-21.90415682,-19.33221256,,Average Trade balance (% of GDP)
Gabon,19.53962499,27.20110808,29.73989095,Average Trade balance (% of GDP)
Gambia,-11.65582736,-10.59120448,-18.92635773,Average Trade balance (% of GDP)
Georgia,-20.41830081,-15.09226966,-23.53873514,Average Trade balance (% of GDP)
Germany,1.019607735,3.150346461,5.811452272,Average Trade balance (% of GDP)
Ghana,-13.47946268,-17.454644,-17.91613778,Average Trade balance (% of GDP)
Gibraltar,,,,Average Trade balance (% of GDP)
Greece,-10.49531336,-12.85730481,-11.86697424,Average Trade balance (% of GDP)
Greenland,,,,Average Trade balance (% of GDP)
Grenada,-19.58587585,-19.05298835,-32.60808218,Average Trade balance (% of GDP)
Guam,,,,Average Trade balance (% of GDP)
Guatemala,-6.602996215,-12.97170709,-14.69610093,Average Trade balance (% of GDP)
Guinea,-4.376141834,-2.069868986,-3.830348719,Average Trade balance (% of GDP)
Guinea-Bissau,-20.60165394,-25.18429948,,Average Trade balance (% of GDP)
Guyana,-9.367503134,-12.71276865,-34.58365244,Average Trade balance (% of GDP)
Haiti,-17.46169941,-25.8137392,-29.2584225,Average Trade balance (% of GDP)
Honduras,-7.547627215,-14.16796077,-23.91609586,Average Trade balance (% of GDP)
Hong Kong. China,-0.685027946,7.067235269,10.4743887,Average Trade balance (% of GDP)
Hungary,-0.319863408,-2.75571096,0.636381663,Average Trade balance (% of GDP)
Iceland,-0.876402469,-3.092951953,-7.098042447,Average Trade balance (% of GDP)
India,-1.449613477,-1.171034596,-4.048737108,Average Trade balance (% of GDP)
Indonesia,3.121830184,7.419098545,3.492709321,Average Trade balance (% of GDP)
Iran,4.223517065,3.090164824,9.025087382,Average Trade balance (% of GDP)
Iraq,,,,Average Trade balance (% of GDP)
Ireland,12.37083882,15.32037214,10.95977639,Average Trade balance (% of GDP)
Isle of Man,,,,Average Trade balance (% of GDP)
Israel,-5.21413305,-1.30460648,-0.050133419,Average Trade balance (% of GDP)
